Npump[RPM],stage[-],pump desgin flow[kg/s],shaft allowable shear stress tau_material[N/mm2],pump required power W[kW],specific speed[m_m3/min_rpm-1],shaft torsional moment[N*m],shaft connection coef[-],shaft min.dia d1[m],boss dia. db[m],boss length dl[m],ks[-],ku2[-],kd5[-],kvo[-],kb5[-],blade number[-],inlet speed[m/s],inlet dia. D1[m],impeller inlet dia.[m],impeller inlet average dia.[m],impeller outlet cirspeed [m/s],outlet dia. D2[m],Head coef. xi[-],flow coef. psi[-],impeller inlet width s1[m],impeller outlet width s2[m],impeller inlet angle beta_1[degree],impeller inlet angle bwta_2[degree],impeller inlet height[m],impeller outlet height[m],impeller outlet radspeed[m/s],volute inner dia.[m],volute inner avespeed[m/s],volute outlet area[m2],volute outlet dia.[m],volute inlet height[m],volute 7/8 outlet area[m],volute 6/8 outlet area[m],volute 5/8 outlet area[m],volute 4/8 outlet area[m],volute 3/8 outlet area[m],volute 2/8 outlet area[m],volute 1/8 outlet area[m],volute 7/8 outlet dia.[m],volute 6/8 outlet dia.[m],volute 5/8 outlet dia.[m],volute 4/8 outlet dia.[m],volute 3/8 outlet dia.[m],volute 2/8 outlet dia.[m],volute 1/8 outlet dia.[m],NPSH_r[m],NPSH_a[m],shaft_cir_speed[m/s]
12000.0,1.0,5.105263157894736,25.5,168.5599631578947,27.72582170864813,134.13575671983352,75,32.933489046385006,59.28028028349301,49.40023356957751,0.07394087439365246,0.913862910854324,0.015313931802821827,0.6407610278667886,1.5273822534874055,5,16.189596970715446,0.06985985157322055,0.06653319197449577,0.06320653237577098,181.9029834130978,0.2895075897335756,0.5986981286429164,0.08900127236478149,0.005,0.006,25.177891551510005,22.5,2.198635745409886,0.00234592759454505,2618.419345636146,0.2939410892191549,127.54248064936712,9.09725979479348e-05,0.01076243045016336,0.0035831281758745073,7.960102320444295e-05,6.82294484609511e-05,5.685787371745925e-05,4.54862989739674e-05,3.411472423047555e-05,2.27431494869837e-05,1.137157474349185e-05,0.00010135117054527807,8.687243189595263e-05,7.239369324662719e-05,5.7914954597301754e-05,4.3436215947976314e-05,2.8957477298650877e-05,1.4478738649325438e-05,1.579099178739753,92.6981655033047,15.707963267948967
14000.0,1.0,5.105263157894736,25.5,168.5599631578947,32.34679199342282,114.97350575985732,75,31.283990599842962,56.31118307971733,46.92598589976444,0.07529940610280027,0.9161733959967114,0.017592956116279757,0.6225712476471721,1.5259959624019732,5,16.48705194434676,0.06696168689319507,0.06377303513637625,0.06058438337955743,182.36288186782224,0.24877674930640528,0.5956822390839143,0.09040793705100952,0.005,0.006,23.94017952323503,22.5,2.338181437640617,0.0027198139508823184,2669.4629370191888,0.2531534677397036,123.92183333971366,9.363056130383052e-05,0.010918522484649052,0.004150425107530976,8.192674114085171e-05,7.02229209778729e-05,5.851910081489407e-05,4.681528065191526e-05,3.511146048893645e-05,2.340764032595763e-05,1.1703820162978815e-05,0.00010431236659181356,8.94105999358402e-05,7.450883327986682e-05,5.9607066623893455e-05,4.47052999679201e-05,2.9803533311946727e-05,1.4901766655973364e-05,1.9841163600892644,92.6981655033047,18.32595714594046
16000.0,1.0,5.105263157894736,25.5,168.5599631578947,36.967762278197505,100.60181753987516,75,29.92206056999895,53.859709025998114,44.88309085499843,0.07665366713867351,0.9184838811390987,0.019839538780394458,0.6068145433174784,1.524609671316541,5,16.78357184005702,0.06456508107374556,0.061490553403567204,0.05841602573338884,182.8227803225467,0.2182286189860275,0.5926890806803866,0.09180241001939943,0.005,0.006,23.002845846785323,22.5,2.466403107221077,0.0030906368173339097,2720.472687348046,0.22255817413539272,120.78548598138843,9.606179682205352e-05,0.01105937061736124,0.004712014782234252,8.405407221929683e-05,7.204634761654013e-05,6.003862301378345e-05,4.803089841102676e-05,3.602317380827007e-05,2.401544920551338e-05,1.200772460275669e-05,0.00010702096864563399,9.173225883911484e-05,7.64435490325957e-05,6.115483922607656e-05,4.586612941955742e-05,3.057741961303828e-05,1.528870980651914e-05,2.424652983720476,92.6981655033047,20.94395102393196
18000.0,1.0,5.105263157894736,25.5,168.5599631578947,41.58873256297219,89.42383781322235,75,28.77005266652882,51.78609479975188,43.15507899979323,0.07800365750127221,0.9207943662814861,0.02205813761670416,0.5929161451100251,1.5232233802311084,5,17.079156657846234,0.06253264191439568,0.05955489706132922,0.05657715220826276,183.28267877727114,0.19446896207017816,0.5897184255679976,0.09318478304543537,0.005,0.006,22.27707335678727,22.5,2.5848470492756817,0.0034590126643745294,2771.448596622718,0.1987585851976998,118.01903155089234,9.83135572366879e-05,0.011188239756875738,0.005268848962890783,8.60243625821019e-05,7.373516792751593e-05,6.144597327292993e-05,4.915677861834395e-05,3.686758396375796e-05,2.4578389309171974e-05,1.2289194654585987e-05,0.000109529620250168,9.388253164300115e-05,7.823544303583428e-05,6.258835442866744e-05,4.694126582150058e-05,3.129417721433372e-05,1.564708860716686e-05,2.900507011445316,92.6981655033047,23.56194490192345
20000.0,1.0,5.105263157894736,25.5,168.5599631578947,46.209702847746875,80.48145403190011,75,27.777180444078468,49.998924799341246,41.6657706661177,0.07934937719059636,0.9231048514238734,0.024252168857657436,0.5804836042624016,1.521837089145676,5,17.3738063977144,0.06077503914344101,0.05788098966042001,0.05498694017739901,183.7425772319956,0.17546123653749868,0.5867700487305028,0.0945551469857638,0.005,0.006,21.693440749213597,22.5,2.6955084771702054,0.0038255365088734534,2822.3906648432044,0.17971655207397946,115.54435373573324,0.00010041919348075272,0.01130741739700564,0.005821843345084488,8.786679429565863e-05,7.531439511056454e-05,6.276199592547045e-05,5.020959674037636e-05,3.765719755528227e-05,2.510479837018818e-05,1.255239918509409e-05,0.00011187547716634258,9.589326614257935e-05,7.991105511881613e-05,6.39288440950529e-05,4.794663307128968e-05,3.196442204752645e-05,1.5982211023763226e-05,3.411635422547322,92.6981655033047,26.179938779914945
22000.0,1.0,5.105263157894736,25.5,168.5599631578947,50.830673132521575,73.1649582108183,75,26.908568738436156,48.43542372918508,40.36285310765423,0.08069082620664594,0.9254153365662607,0.02642433095074947,0.5692370030454913,1.5204507980602435,5,17.66752105966151,0.05923126801875969,0.0564107314464378,0.05359019487411591,184.20247568672005,0.15990946110167,0.5838437279571381,0.09591359178966365,0.005,0.006,21.21513178251404,22.5,2.7995176385716105,0.004190785470518266,2873.2988920095063,0.16413496162397653,113.30573534963322,0.00010240320825414146,0.011418573214588727,0.00637188311314877,8.960280722237378e-05,7.68024061906061e-05,6.40020051588384e-05,5.120160412707073e-05,3.840120309530305e-05,2.5600802063535365e-05,1.2800401031767682e-05,0.00011408583747480775,9.778786069269235e-05,8.148988391057695e-05,6.519190712846156e-05,4.889393034634617e-05,3.259595356423078e-05,1.629797678211539e-05,3.9580929965195977,92.6981655033047,28.79793265790644
24000.0,1.0,5.105263157894736,25.5,168.5599631578947,55.45164341729626,67.06787835991676,75,26.139327578607364,47.05078964149326,39.20899136791105,0.08202800454942097,0.9277258217086481,0.028576807204355008,0.5589696605607151,1.5190645069748112,5,17.960300643687575,0.05785801247220906,0.05510286902115148,0.05234772557009391,184.6623741414445,0.14694964823847942,0.5809392438007498,0.09726020651034549,0.005,0.006,20.82771097370507,22.5,2.896804593686807,0.004555322084374271,2924.173278121622,0.15114900000493825,111.26203688291368,0.00010428418478090043,0.011522966109188695,0.006919828096211471,9.124866168328788e-05,7.821313858567532e-05,6.517761548806277e-05,5.214209239045021e-05,3.910656929283766e-05,2.6071046195225107e-05,1.3035523097612553e-05,0.00011618140445932235,9.958406096513343e-05,8.298671747094453e-05,6.638937397675563e-05,4.9792030482566714e-05,3.3194686988377814e-05,1.6597343494188907e-05,4.539991433043143,92.6981655033047,31.415926535897935
26000.0,1.0,5.105263157894736,25.5,168.5599631578947,60.07261370207094,61.90881079376932,75,25.451128438889825,45.81203119000168,38.17669265833474,0.08336091221892145,0.9300363068510354,0.030711399006917613,0.5495246210552378,1.5176782158893787,5,18.252145149792586,0.056623525290892485,0.053927166943707125,0.051230808596521765,185.12227259616895,0.13598365273885665,0.5780563795366518,0.09859507931608176,0.005,0.006,20.51144735839989,22.5,2.987966120922372,0.004919697412451341,2975.013823179553,0.14015990095653783,109.3820165384019,0.00010607658535279962,0.011621570601328342,0.007466517591644744,9.281701218369966e-05,7.955743901459971e-05,6.629786584549976e-05,5.303829267639981e-05,3.9778719507299854e-05,2.6519146338199904e-05,1.3259573169099952e-05,0.00011817829033645181,0.00010129567743124441,8.4413064526037e-05,6.753045162082961e-05,5.0647838715622206e-05,3.3765225810414807e-05,1.6882612905207403e-05,5.157470553274194,92.6981655033047,34.033920413889426
28000.0,1.0,5.105263157894736,25.5,168.5599631578947,64.69358398684564,57.48675287992866,75,24.83011979397699,44.694215629158585,37.245179690965486,0.08468954921514739,0.9323467919934229,0.032829616950296556,0.5407798803410985,1.5162919248039464,5,18.543054577976555,0.05550391730164414,0.052860873620613466,0.05021782993958279,185.5821710508934,0.12658422802489425,0.5751949211221966,0.09991829750117198,0.005,0.006,20.241292977858865,22.5,3.0746940438678596,0.005284453992775453,3025.8205271832985,0.13073993974290052,107.64138957326018,0.00010779190847866446,0.01171515772311705,0.00801277491624339,9.43179199188314e-05,8.084393135899835e-05,6.736994279916529e-05,5.389595423933223e-05,4.042196567949917e-05,2.6947977119666115e-05,1.3473988559833058e-05,0.00012008930541782044,0.0001029336903581318,8.577807529844317e-05,6.862246023875453e-05,5.14668451790659e-05,3.4311230119377266e-05,1.7155615059688633e-05,5.810677081395785,92.6981655033047,36.65191429188092
30000.0,1.0,5.105263157894736,25.5,168.5599631578947,69.31455427162032,53.65430268793341,75,24.2656022014021,43.67808396252378,36.39840330210315,0.08601391553809876,0.9346572771358101,0.03493274523184049,0.5326387215056383,1.514905633718514,5,18.833028928239468,0.05448080797226353,0.051886483783108124,0.049292159593952715,186.04206950561786,0.11843805993946019,0.5723546571570437,0.10122994749674494,0.005,0.006,20.027431086758526,22.5,3.155183164583451,0.005650128660943761,3076.593390132859,0.1225754265130788,106.02090463725848,0.00010943946246351477,0.011804348832659363,0.008559411739698148,9.575952965557542e-05,8.207959684763608e-05,6.839966403969673e-05,5.4719731231757385e-05,4.103979842381804e-05,2.7359865615878692e-05,1.3679932807939346e-05,0.00012192481994271817,0.00010450698852232986,8.708915710194154e-05,6.967132568155324e-05,5.225349426116493e-05,3.483566284077662e-05,1.741783142038831e-05,6.499748411501265,92.6981655033047,39.269908169872416
